country,capital,nuts,
UK,London,UKI3,
UK,London,UKI4,
FR,Île-de-France,FR10,
FR,"	Île de France",FR10,
FR,Paris,FR10,
FR,Seine-et-Marne,FR10,
FR,Yvelines,FR10,
FR,Essonne,FR10,
FR,Hauts de Seine,FR10,
FR,Hauts-de-Seine,FR10,
FR,Seine Saint Denis,FR10,
ES,Madrid,ES30,
IT,Lazio,ITI4,
IT,Viterbo,ITI4,
IT,Rieti,ITI4,
IT,Roma,ITI4,
IT,Latina,ITI4,
IT,Frosinone,ITI4,
PL,Warszawa,PL12,
PL,Warschau,PL12,
PL,Warsaw,PL12,
PL,Warszawski ,PL12,
PL,Mazowieckie,PL12,
GE,Tbilisi,No_nuts,
GE,თბილისი ,No_nuts,
JM,Kingston,JM3,
KE,Nairobi,KE11,
MD,Chi..in..u,No_nuts,
MD,Chișinău,No_nuts,
MX,Ciudad de México,No_nuts,
ID,Jakarta,No_nuts,
US,WASHINGTON,No_nuts,
PL,Mazowieckie,PL12,
PL,Miasto Warszawa,PL12,
PL,Radomski,PL12,
PL,Warszawski wschodni,PL12,
PL,Warszawski zachodni,PL12,
PL,Ciechanowski,PL12,
PL,Płocki,PL12,
PL,Ostrołęcki,PL12,
PL,Siedlecki,PL12,
PL,Warszawa,PL12,
PL,Warschau,PL12,
PL,Warszawa,PL12,
PL,Warsaw,PL12,
